P01901859A0000|0 60|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P10866689A0295|153 158|tal-1
P02204029A0184|145 150|N-ras
P07500386A0870|154 158|IRA1
P08876167A0717|151 155|gp91
P11560992A0651|152 156|MKK4
P08760889A0531|149 153|H2A1
P02269426A0428|149 152|Tat
P08386318A1102|154 157|Ras
P10602507A0652|148 151|p21
P08937981A0840|153 156|p54
P09368057A1083|152 155|SRF
P11559789A0314|156 159|SF2
P01358758A0000|149 190|beta-cell-specific transcriptional enhancer
P08626785A0674|156 192|mouse tissue transglutaminase promoters
P10671519A0641|152 181|lamina-associated polypeptide 2
P07628456A0000|150 173|Escherichia coli RNase III
P08844448A0000|152 174|gastrointestinal lipase
P10359792A0610|153 172|histone deacetylases
P09011745T0000|162 180|mammalian receptors
P01918073A0150|153 167|protein kinase A
P01863887A0174|157 171|erythropoietin
P01372802A1481|155 166|C3 fragments
P09148903A1715|153 165|IkappaBalpha
P10564280A0140|155 164|68-kDa Src
P11310937A0548|149 159|fibrinogen
P07916003A0688|147 156|human gene
P10197985A0145|152 161|U12 snRNPs
P08776735A0000|152 161|rLHR-t653
P07483276A0139|151 156|HSV-1
P09855111A0905|152 157|SREBP
P10747053A1102|152 157|TAF17
P10593939A0747|152 157|SRZ21
P01652755A1492|155 159|IL-6
P10890911A0470|150 154|twin
P09533030T0000|154 158|SDHC
P08417331A0745|148 152|Tup1
P10490843A0159|153 157|PLZF
P01774063A0161|152 156|Fshb
P08769566A0000|154 157|ZD1
P03023859A0000|150 153|bcr
P09420219A0284|155 196|glucocorticoid-inducible enhancer-promoter
P07958446A0000|157 183|winged helix DNA binding motif
P09716183A1036|151 174|TBP amino-terminal domain
P11429702A0917|157 179|Y373C and K650E receptors
P07862533A0000|153 174|early growth response-1
P01735721A0185|151 170|B. subtilis TyrTS gene
P08288633A0144|153 173|COOH-terminal segment
P06527872T0000|152 169|an acid phosphatase
P07636648A1229|153 170|pertussis antigens
P11373277A0812|156 173|AP-2alpha promoter
P09111314A1243|157 172|p15INK4B protein
P02518691A0251|155 169|kappa B enhancer
P02480959A0470|148 161|gonadotropins
P07539119A0291|155 166|G128R mutant
P10549354A1782|154 166|beta-catenin
P10373507A0680|159 170|SRF promoter
P11031252A0646|150 158|PKC delta
P07981246A0112|158 163|c-fos
P11003641A0811|150 155|Fcp1p
P02409297A0984|155 160|HBsAg
P07579695A0336|159 164|CBF3B
P10965905A1618|154 159|IRS-1
P01985920A0156|151 155|SCP2
P10749849A0000|155 159|WAF1
P09393717A1517|154 158|mutC
P08810278A0682|154 158|CRKL
P01378052A0594|153 157|NtrC
P07576307A1654|155 158|ENK
P08631797A0982|154 157|EGF
P10207087A0956|155 158|ETO
P09132011A0298|155 158|cdc
P11155096A0222|155 158|TSH
P01524549A0241|152 154|GH
P03572706A0329|155 156|F
P02083253A1512|152 186|T-cell-specific transcription factor
P09278441A1160|152 178|Drosophila melanogaster gene
P09837907A0857|158 179|c-Jun N-terminal kinase
P10521509A0000|155 175|mammalian RGS proteins
P02732341A0000|156 177|chloroacetate esterase
P09914500A0000|155 174|tumor necrosis factor
P08253387A0801|157 173|hLEF-binding site
P01968224A0119|150 164|Drosophila PCNA
P09990060A0937|154 167|IL-16 promoter
P09884232A0286|151 164|integrase gene
P07559488A0440|153 163|wild type ER
P09880029A0703|154 165|Rep proteins
P10074903A0915|153 163|p21 protein
P00055040A0000|158 168|FR-antigen
P01657969A1420|157 167|calmodulin
P08825636T0000|153 162|NF-kappa B
P10915780A1063|154 162|cyclin D1
P11583621A0301|159 166|hTAF(II
P08706662A1125|154 159|NF-P2
P07537851A0891|156 161|IRF-1
P09305755A0540|155 159|HNF1
P10601344A1653|153 157|RhoA
P09252406A0511|156 160|SHP2
P07888306A1659|148 152|Ca2+
P11095248A0423|157 161|gp27
P10441506A0098|157 160|HR1
P10861086A0259|155 158|Csk
P00453780A0430|155 158|IgA
P09227799A0254|156 159|SEA
P09837715A0581|154 186|murine leukemia virus (MLV) SL3-3 LTR
P03034570A0943|156 181|human papillomavirus type 18
P08122364A0954|153 176|trans-activating protein
P01536575A1213|152 173|cytochrome P450IA1 gene
P08106313A1492|151 171|HrpL-responsive genes
P10564593A1618|154 173|MXR half-transporter
P08891337A0614|157 176|CRE)-binding protein
P03537721A0876|156 174|vacuolar hydrolases
P10504332A0701|158 175|wild-type receptor
P08065901A0997|156 168|KRAB-A domain
P01833637A0531|155 164|HSP82 gene
P08432137A0000|157 165|serum LYS
P08863824A0509|153 161|5-HT2C-R
P08182041A1067|152 159|insulin
P09189783A0000|157 164|insulin
P09566918A1115|156 162|PRDIII
P07878029A0721|150 155|CBF-A
P09528770A1379|155 160|Msn2p
P11282395A0530|152 157|Mre11
P08415712A1153|154 158|GPRK
P08280925A0261|153 156|IgM
P09451003A0894|154 157|CRP
P10704499A0682|158 161|PKC
P08756332A0000|153 196|Ral-specific guanine nucleotide exchange factor
P02022188A0112|156 181|high mobility group proteins
P08861955A0927|154 177|small GTP binding proteins
P02473907A1338|147 168|Fc epsilon R binding site
P01542667A0125|156 178|IFN-gamma-encoding gene
P01321337A0318|156 176|mammalian calcineurin
P02165589A0888|153 168|fos oncoproteins
P08838314A0129|158 171|human V1aR gene
P07823953A0777|146 161|protein-protein
P10367646A0569|158 172|serum globulins
P10727515A1202|159 173|pertussis toxin
P09461594A0000|157 167|PLC-gamma2
P10681520A0525|157 167|Gbetagamma
P01627828A0475|156 163|SmN gene
P09234713A0754|157 164|Ddelta3
P10469174A0678|156 163|MBF1CTD
P03721594A0000|162 168|fibrin
P08337841A0612|152 157|G gene
P07797077A0842|156 161|IRF-1
P10760109A1050|150 155|IGF-1
P08386318A1102|158 163|Raf-1
P07951410A0647|154 159|E2F-1
P08530384A0559|157 162|BOB.1
P10574913A1108|164 168|GPCR
P09716179A0974|162 166|cdc2
P08876167A0717|156 160|phox
P07504171A0715|156 159|Src
P09736715A0729|164 167|ILK
P10473623A0081|159 162|ARF
P10788320A1034|158 160|U5
P09566871A0343|155 183|reverse transcriptase proteins
P10542269A0000|156 184|beta-amyloid precursor protein
P09736697A1107|157 169|Janus kinases
P01406656A1075|154 166|oncogenic ras
P09111340A0240|157 169|myc sequences
P10938113A0388|154 165|Vav isoforms
P09199932A1357|158 169|ATM promoter
P11323411A0505|154 165|C-SH2 domain
P02324104A1195|159 169|CeCAT alpha
P11556809A2085|161 171|P450 enzyme
P07509450A0705|155 164|HSV tk gene
P10216161A1530|159 167|E. coli bd
P08654375A0544|152 157|Oct-2
P10454570A0846|162 167|ATF-2
P01285009A0000|161 165|rCCK
P11241166A0677|155 159|STAT
P09858745A1350|156 160|CatR
P10721698A1195|156 160|CSTB
P10556028A0292|155 159|BD-2
P01716292A0000|155 158|DRB
P10866689A0295|159 162|E12
P09445488A0230|154 157|Alu
P10400712A0577|156 158|GE
P11376007A0584|156 176|protein phosphatase 2A
P08367487A1014|155 174|anti-PRP9 antibodies
P10732669A1336|157 171|HD-Zip proteins
P10613874A0663|150 162|GlnA proteins
P08576042A0765|154 165|groE operons
P01448917A0775|155 164|CPSMV RNA 1
P09271397A1596|155 165|buttonhead
P09223479A1193|155 164|BHRF1 gene
P09445488A1169|159 167|gene NEFA
P09169127A0371|155 161|y1 gene
P02318208A0817|158 164|Ad2MLP
P03619249A0428|152 157|HBc Ag
P01774063A0161|157 162|Actcl
P07519481A1275|156 161|c-kit
P11145566A0000|161 166|HDL-R
P07544357A0808|159 164|CD44v
P08188603A0230|159 164|CPS-A
P10749849A0000|160 164|Cip1
P10890911A0470|155 159|Xtwn
P07691837A1359|157 161|NFkB
P10861906A0999|156 160|IME2
P09111367A1098|161 164|p53
P09817373A0000|164 167|NOS
P08226798A1124|157 160|CaM
P10915728A0216|155 158|IFN
P11777632A1678|158 160|AF
P09024805A0905b|155 173|beta-globin TATA box
P07739382A0457|159 177|flightless proteins
P08631667A0851|156 173|thymidylate kinase
P09098899A0000|160 176|zinc-finger motif
P09395525A0395|162 176|IGF-I promoter 1
P08396261A0388|155 170|adenylyl cyclase
P10490639A0000|162 176|cyclin partners
P10825294A0473|156 168|AML C terminus
P09647240A0000|163 175|Val135 mutant
P08152800A0709|159 170|Ets proteins
P08294429A0153|159 170|hGH promoter
P10648020A0151|162 172|fibrinogen
P08466864A0878|159 168|TGF-beta 1
P09511760A0221|160 169|cHO-1 gene
P07983744A0920|155 160|IE175
P11238447A0524|161 166|nup98
P10778757A0000|157 162|INCW2
P08195216A1022|160 165|GCN4p
P01425921A1286|161 165|V1J1
P09049304A1193|161 164|VPF
P09148935A0805|158 161|FAK
P01714902A0221|158 161|TCR
P07888306A1659|153 156|CaM
P03572706A0329|159 160|F
P08152800A0357|154 182|Ets Related Molecule PEA3-like'
P11000521A0588|164 190|insulin receptor substrate-2
P01313846A0850|159 183|carcinoembryonic Ag family
P02176822A0000|159 175|glycogen synthase
P09872832A1262|161 176|interferon gamma
P02164588A0266|160 174|HN glycoprotein
P08223613A0519|155 168|TSL1 homologue
P07622521A0418|154 161|beta ARK
P10585453A1029|158 164|hGH LCR
P10899142A0000|165 171|DLGR-1
P10523640A0367|164 169|Stat3
P08940132A1120|161 166|CPP32
P09447994A0000|161 166|c-fos
P09305755A0540|160 164|HNF5
P07964624A0491|154 158|P191
P10628971A1165|159 163|LUV1
P02949170A0184|161 165|SHBG
P09422727A0196|161 165|CREB
P08769566A0000|160 163|ZD2
P07589069A1245|160 163|CD6
P02115121A0000|162 165|KE2
P09235618A0000|164 167|IgG
P08355680A0824|162 193|glucose 6-phosphate dehydrogenase
P10674395A0262|163 190|cGMP-dependent protein kinase
P08584035A0740|158 178|DNA-protein complexes
P08486276A0419|162 180|chloramphenicol (Cm
P09259052A0568|160 176|Jun family members
P10518956A0137|158 175|hepatic deiodinase
P11181531A0464|162 175|interleukin-1
P10717612A0000|163 176|interleukin-2
P08896804A0000|162 173|BDZ receptor
P11454239A0478|166 177|alpha (alpha
P02597549A0964|157 168|prothrombin
P08700531A1420|163 171|cph locus
P08955402A0288|158 164|HOL1-1
P01716292A0000|159 164|H-2Eb
P06091914A0000|158 163|int-1
P08887667A0992|162 167|Cdc28
P11282395A0530|158 163|Rad50
P07656588A0101|161 165|FUT1
P10628971A0824|163 167|VPS1
P09064659A1055|157 161|UPF1
P10866689A0295|163 167|Lmo2
P10498616A0157|161 165|IL-3
P08666404A0311|161 164|PP5
P09504423A0114|160 163|GST
P09540062A0755|160 163|CAT
P08810278A0682|160 163|BCR
P10400712A0577|159 161|IG
P03690262A0428|159 161|T1
P01378052A0594|160 190|NifA upstream activator sequences
P10501965A0879|162 186|G-protein coupled receptor
P08722011A0103|162 181|mammalian protein L12
P08288596A0663|159 177|rGH minimal promoter
P10409699A0292|165 183|mannosidase homolog
P09369450A1358|160 175|protein-protein
P11368363A0129|159 168|human HBP1
P09710591A0981|162 171|MAP kinase
P10330159A1258|161 168|Jun-Fos
P08665853A0228|161 167|ErbB-2
P11221845A1713|161 165|mlt 1
P08530384A0559|163 168|OBF.1
P07959760A0763|158 163|Fli-1
P07487811A0000|165 170|PSE-2
P10593939A0747|160 165|SRZ22
P08769132A0000|159 163|MutS
P09535082A0537|158 162|PrfA
P09620873A1710|162 166|sHSP
P08794339A1162|158 162|CREB
P10542237A0357|164 168|IL-6
P09006010A0527|160 164|RsaA
P07983715A0996|160 163|USF
P10319327A1237|162 165|E47
P11069756A2618|167 207|heterotrimeric-G-protein-coupled receptor
P02116071A0000|160 175|mite specific IgE
P09882334A0822|161 176|N-terminal motif
P01874195A0139|167 181|tyrosine kinase
P09346935A0927|162 175|RNA polymerase
P07720572A1584|162 174|myoD enhancer
P10744749A0315|161 172|bHLH factors
P09058323A1287|158 168|alpha 5 gene
P08943354A0295|162 172|Jak kinases
P10628750A0298|164 174|NF-kappaB1
P02779752A0000|161 170|5-HT1 site
P09049304A1193|165 173|VEGF gene
P08776735A0000|162 171|rLHR-t631
P08516324A0000|166 173|EWS gene
P10403839A0140|163 169|mBMAL1
P07797077A0842|162 167|IRF-2
P07588240A0000|166 171|CPP32
P09388199A0948|160 164|FadR
P09325278A0458|161 165|mta1
P10601344A1653|160 164|Rac1
P10704499A0682|164 167|MEK
P11250942A0626|161 164|VDR
P10788320A1034|163 165|U4
P11145955A0189|166 196|mitogen-activated protein kinase
P06407348A0516|163 184|smooth muscle receptors
P09482902A0942|161 182|retinoblastoma protein
P11521191A0000|162 183|retinoblastoma protein
P02686749A0000|161 180|beta 2-microglobulin
P11376687A0344|162 177|MTH1 polypeptide
P08254738A0428|161 176|T-antigen kinase
P07605990A1110|162 175|PEBP2 isoforms
P07862092A0302|164 175|pol3-14 sdp1
P08443341A0384|157 168|myrosinases
P11243306A0961|164 174|anti-oxLDL
P09162097A0776|163 173|L-selectin
P10894149T0000|168 177|ERRalpha1
P09618150A0127|160 168|UCP1 mRNA
P09254678A0106|164 171|Gtx mRNA
P07689154A0168|165 172|uPA mRNA
P07685874A0258|167 174|amylase
P09346935A0459|166 172|pol IIo
P02403926A0307|165 171|trk-2h
P08642313A0770|165 170|Bcl-3
P10454570A0846|168 173|c-Jun
P07796935A0284|164 169|hPPAR
P11280799A1025|166 171|PTHrP
P11179687A0280|164 169|RPTPs
P09171239A1118|163 167|AF-2
P07863047A0229|162 165|ACE
P08106369A0000|167 170|V1a
P09111004A0732|160 163|L12
P07589069A1245|164 167|PB1
P02647918A0588|161 163|GH
P07770033A0978|163 200|Neurospora crassa copper metallothionein
P08625900T0000|169 197|thyrotropin-releasing hormone
P09566918A1115|164 186|ISRE regulatory elements
P09689047A0253|170 193|Golgi sialyltransferases
P11369700A0616|158 180|luciferase reporter gene
P09544991A0750|166 182|m-Stat5adelta749
P09716179A0974|169 179|cdk2 kinase
P08035796A0890|165 175|eIF-2 alpha
P09139694A0789|163 172|CTF1alpha
P01321280A0494|165 172|BPV-1 E6
P10799590A0431|165 172|EBNA-3C
P09528770A1379|163 168|Msn4p
P08361761A0174|166 171|v-Rel
P07951410A0647|161 165|DP-1
P09584194A1305|161 165|HEF1
P08264582A0750|166 170|LIFR
P01774063A0161|163 166|Ltk
P08810278A0682|164 167|ABL
P08598449A0784|163 166|fyn
P11106428A0635|166 169|GST
P09778197A0415|167 223|beta-hydroxy-beta-methylglutaryl-CoA (coenzyme A) reductase
P08230452A0551|168 189|poliovirus 3CD protease
P10688661A0237|167 187|neuron-specific genes
P10036191A0000|168 187|tissue-specific gene
P06319072A0711|162 179|beta-adrenoceptor
P09502627A0705|164 178|creatine kinase
P09139910A0350|166 179|XbaI fragments
P11292839A0531|161 171|TBP) mutant
P08428940A1763|162 170|merR mRNA
P10850453A0713|165 174|V12Ha-Ras
P10788320A1034|166 174|U6 snRNPs
P11023832A1038|165 174|NF-kappaB
P08386318A1102|166 172|NF-IL6
P10823837A1213|164 169|Mcd4p
P07595221A0733|166 171|CIITA
P10866689A0295|168 172|Ldb1
P10512699T0000|171 175|selA
P11309389A0273|165 169|GHBP
P08230445A0000|161 164|Gag
P03102289A0786|159 162|hCG
P07038684A1050|165 168|p60
P11145887A1393|161 164|Tax
P11012680A1020|165 184|PLCgamma binding site
P08706731A1303|170 189|ginseng ribonuclease
P01285009A0000|169 186|chicken beta-actin
P11133986A0350|170 187|kappaE3'-enhancer
P09343210A1112|169 183|NF-kappaB sites
P07746397A0233|167 181|thromboplastin
P09421511A0827|167 180|telomerase RNA
P11310937A0548|162 171|TNF-alpha
P08614410A0000|166 173|activin
P09575187A1558|167 173|kappaB
P08195186A0000|169 173|ecoR
P08637711A1121|166 170|IL-6
P09765261A0000|171 175|CREB
P08566754A0783|168 171|ASF
P06524761A0596|164 167|T-1
P09040011A1316|169 172|Ras
P00627129A0944|165 192|alpha-and beta-adrenoceptors
P11127200A1024|168 188|alpha1) collagen I gene
P01765375A0290|163 181|clathrin heavy chain
P08808707A0631|170 187|PEA3-mediated gene
P10517672A1417|168 184|NF1-like proteins
P08030239A0833|167 182|EHV-1 tk promoter
P07704040A0000|171 183|DT diaphorase
P08496601A1153|165 176|muMIP-1 beta
P11114294A0075|170 179|CFTR) gene
P10209031A0832|164 172|zeta ITAM
P09763470A1756|166 173|DBH gene
P09312025A0373|171 179|p85alpha
P02320999A0606|167 173|m-2 h-1
P01394200A0592|166 172|CD45RO
P11560992A0000|169 174|SAPKs
P09426068A0826|166 171|c-myc
P09652736A1205|164 169|E2F-1
P07914192A0844|172 176|HER2
P07616569A0168|165 169|atp6
P09235618A0000|170 173|IgM
P10209119A0076|169 172|Cdk
P07080496A0097|172 175|LDL
P09535892A0000|166 168|WD
P07537736A0453|166 193|cytokine receptor superfamily
P04032349A0000|168 179|Plasminogen
P01901946A0243|166 177|DNA-protein
P09182707A0254|171 179|paxillin
P09248639A0152|165 173|collagen
P07487908A0230|170 174|Rat 2
P09024793A1325|162 167|BMP-2
P08761480A0331|167 172|v-Src
P10400757A1498|166 171|CXCR4
P11158337A0000|171 175|GRAS
P09533030T0000|168 172|SDHD
P11278819A0565|164 168|MOK2
P01431380A0244|164 168|SFGR
P09096958A0000|169 173|TD77
P08106369A0000|171 174|V1b
P09234717A0000|167 170|SH3
P07629196A0274|167 170|JNK
P10369418A0644|165 168|p50
P02437895A0000|166 168|LH
P10713176A0422|167 169|Rb
P08615025A1214|169 171|V3
P02666404A0220|171 206|rat brain and liver glucose transporters
P10860846A0480|166 181|HGF gene promoter
P09442072A0716|161 175|murine fVII gene
P10752475A1376|168 179|Fc-receptor
P07656588A0101|168 177|FUT2 genes
P10488148A1267|169 177|HIV-1 LTR
P09420239A1937|165 173|Sp1 sites
P07797077A0842|168 173|ICSBP
P11059777A0813|174 179|BCL-X
P11238105A0959|170 175|Jak-2
P11238447A0524|170 175|nup62
P02758382A0478|171 175|SHBG
P08550476A0610|164 168|EpiQ
P08647086A0720|166 170|Cdk2
P09582953A0000|176 180|F.IX
P09280747A0195|169 172|ACE
P11327698A0191|168 171|Sp1
P10574913A1108|177 180|ERK
P08769132A0000|166 193|Sacchromyces cerevisiae MSH-1
P08075070A1632|168 187|DNA-binding proteins
P11221845A0800|166 184|NH2-terminal region
P07655505A0527|167 183|phytochrome A gene
P01384229A0175|167 183|herpes TK promoter
P06373855A0000|169 185|immunoperoxidase
P03263357A0112|170 182|interleukin 1
P02833049A1041|167 177|RD-114 mRNA
P11003653A0198|169 179|PYR complex
P08455598A0000|166 175|a1-alpha 2
P08034680A0180|168 175|I kappa B
P09545353A1071|170 179|TNF-alpha
P08475104A0341|166 173|cyclin A
P07867622X0000|174 180|p21rac
P11209100A0069|173 179|IL-1ra
P11504709A0981|165 169|MAPK
P09736697A1107|169 173|Jak1
P08530384A0559|170 174|Oct1
P08626529A0799|171 175|p230
P08566754A0783|172 175|SF2
P11278290A1220|168 171|Agc
P02196450A0870|169 172|QBP
P11007954A0170|169 172|Ras
P09040011A1316|173 176|Raf
P09294422A1376|173 176|POR
P09435056A0128|163 201|secretory protein maltose-binding protein
P03275867A0187|166 179|MAT alpha genes
P01387105A0933|171 184|loci Cycb1-rs1
P08076631A0000|169 180|osteocalcin
P10861086A0259|170 178|Fc gamma R
P07740487A0167|170 180|Fibrinogen
P08410097A0356|168 178|fibrinogen
P10657658A0165|170 179|NF-kappa B
P07838156A0789|169 177|ROR alpha
P09556573A1062|175 184|PPARalpha
P10440923A0684|168 175|cyclin E
P01652755A1492|171 176|c-fos
P02555703T0000|177 182|v-abl
P08195186A0000|174 178|CAT1
P10512699T0000|176 180|selB
P07799925A0526|169 172|SH3
P08972182A0527|172 175|ICE
P09535892A0000|169 172|Trp
P09192998A0356|163 166|PTH
P08432137A0000|171 172|P
P07835886A0894|173 203|corticosteroid-binding globulin
P01547775A1024|168 196|ORF2a/ORF2b transframe protein
P10453006A0000|170 195|beta subunits of proteasomes
P08707825A0063|172 193|monoclonal antibody R4A
P10602507A0652|166 186|dominant-negative p53
P06818113A0384|175 193|clotting factor VIII
P08940132A1120|171 188|ICE/Ced-3 protease
P01710768A1172|167 182|gamma interferon
P00594617A0192|171 185|fibrin monomers
P10775585A0754|174 184|MAP) kinase
P02038326A0538|170 180|eIF-2 alpha
P08838314A0129|172 178|AVPR1A
P01982997A1104|174 179|c-Fos
P07937106A0100|169 174|v-ets
P07525843A0859|169 173|H-2b
P01970560A1024|172 176|aroF
P07629196A0274|171 175|SAPK
P08901135A1132|169 173|NIT2
P11073919A0631|166 169|ODC
P11020375A0134|163 165|AF
P01849509T0000|175 203|Thiobacillus ferrooxidans IST2
P09927570A0507|163 187|E1B 19 kDa and 55 kDa proteins
P11368363A0129|169 194|HMG-Box containing protein 1
P11517190A0352|170 189|E-responsive element
P09451016A1037|175 189|endogenous gene
P06501086A0165|176 190|alpha-globulin
P08556707A1390|169 181|248trp allele
P01917962A0152|168 180|SV40 promoter
P08386318A1102|173 182|C/EBP beta
P01774063A0161|170 177|B2M loci
P09234713A0754|171 178|Jdelta1
P11046146A1202|173 180|NFI-DNA
P11357063A0138|174 180|LHbeta
P09694869A0932|168 173|Stat3
P09360422A0135|175 180|pAI-1
P09096229T0000|169 174|rad16
P11241166A0677|170 175|SOCS3
P02196565A0606|174 178|PYK1
P10652362A0933|173 177|CFTR
P08432137A0000|173 177|SLYS
P01660486A1756|173 176|PKC
P08598449A0784|170 173|btk
P06527872T0000|170 173|ACP
P08887652A0341|171 223|bacterial hygromycin B phosphotransferase structural gene
P10894149T0000|178 208|estrogen related receptor alpha-1
P11560992A0000|176 198|c-Jun N-terminal kinases
P08522530A1342|168 178|sigma 54 box
P09006007A0997|172 181|SelB-mRNA
P08647086A0720|171 179|cyclin-E
P10464310A0218|175 181|FGFR-1
P10683244A0939|169 175|NBF1+R
P08396713A0305|175 179|ARNT
P11404016A1922|173 177|NRPS
P09040011A1316|177 181|MAPK
P08349104A0450|174 178|lacZ
P10454570A0846|177 181|JunD
P08761480A0331|173 176|SH3
P11080796A1277|171 174|IKK
P11504709A0981|170 205|extracellular signal-regulated kinase
P07990136A1124|175 206|mammalian polIII ternary complexes
P08288633A0144|174 204|GTPase-activating protein region
P11416012T0000|177 205|phosphatidylinositol 3-kinase
P02185140A0000|177 204|yeast transcription promoters
P01909027A0922|169 193|hepatocyte nuclear factors
P09315631A1064|166 188|delta por1 single mutants
P11353774A0255|174 196|nuclear hormone receptor
P10080875A0772|175 192|NF-kappaB proteins
P08111035A0098|173 188|oleosin promoter
P08276865A1188|176 187|LPA receptor
P09753774A2246|170 179|invertase
P09765411A0991|170 179|ubiquitin
P11139605A0811|177 183|C/EBPs
P10823837A1213|172 177|Gpi7p
P08223613A0519|169 173|TPS3
P10490639A0000|177 181|Pcls
P10717612A0000|177 181|IL-2
P11208814A0673|173 177|CKII
P09647240A0000|177 180|p53
P07563076A0766|173 176|ai4
P01394200A0592|173 174|T
P08719155A0105|174 212|thrombospondin-related anonymous protein
P07758459A1277|171 199|ABF1 consensus binding sequence
P09234717A0000|173 201|SH2 domain-containing proteins
P11274357A0724|170 197|nucleoside diphosphate kinase
P07743697A0703|173 201|angiotensin-converting enzyme
P08703010A0905|173 194|E-box-binding proteins
P11387950X0001|175 194|tumor necrosis factor
P09617807A0929|175 193|Gypsy-like elements
P02123029A0478|173 187|mu-like isotype
P07877619A1284|174 184|zif268 gene
P11238916A0838|176 184|paxillin
P10369418A0644|171 175|RelB
P10521509A0000|175 179|RGS6
P11069307A0546|174 178|DED1
P01324385A0329|171 174|CDC
P08986214A0000|176 179|HGF
P01842498A0000|175 178|PHA
P11254504A0766|180 212|caudal-related homeobox (Cdx) gene A
P09799362A1463|174 206|mitochondrial RNA polymerase mutant
P09551182A0212|173 193|retinoic acid receptor
P08979089A1197|171 187|Ig kappa enhancers
P08837503A0392|171 185|dicot extensins
P09115242A0934|180 193|collagenase-1
P09195923A0125|176 188|immunophilin
P09227799A0254|176 186|precipitin
P09872832A1262|177 186|IFN-gamma
P08776735A0000|175 184|rLHR-t628
P09880029A0703|174 180|MDV-C2
P09714835A0345|177 182|gp180
P09473483A0953|171 176|HIV-I
P01970560A1024|177 181|lacZ
P07592946A0997|170 173|Sp1
P11333268A1521|171 174|Ras
P11462004A1500|171 174|Vp1
P08106369A0000|178 180|V2
P08530345A0880|173 175|HD
P07926775A0895|170 172|hh
P08516324A0000|178 212|carboxyl-terminal DNA-binding domain
P03428274A0000|172 201|nuclear factor I recognition site
P02743981A0347|181 207|ORF monocistronic transcript
P11409425A0000|176 197|apolipoprotein (Apo) E2
P01826043A0431|178 198|protein kinase C family
P08383492A1205|177 194|c-type cytochromes
P10965135A0735|177 192|MAP kinase kinase
P07630687A0010|178 193|antithrombin III
P09504423A0114|174 189|prokaryotic gene
P10861909A0502|174 186|nmt1 promoter
P02233715A0914|169 180|wild-type GR
P09259328A0440|176 186|luciferase
P01436261A0145|181 191|calcitonin
P07537851A0000|178 187|TNF-alpha
P07563090A0124|170 177|pol gene
P09585253A1147|173 179|MDA-MB
P07487908A0230|177 181|IEC 6
P07988731A0002|174 179|G-box
P11207261A1421|182 187|SHP-1
P11325944A0511|176 180|uhpT
P08530384A0559|176 180|Oct2
P08195216A1022|177 181|TRP3
P11207308A0999|185 189|JAK1
P08760286A0696|178 181|Ras
P08876167A0717|175 178|CDP
P09057648A0422|177 180|CAT
P10318806A0918|182 222|Src homology 2 domain-containing phosphatase
P01714902A0221|176 214|antigen/major histocompatibility complex
P10938135A0259|176 205|epidermal growth factor receptor
P07883193A0000|175 199|glutathione S-transferase
P11158337A0000|180 198|activator protein-1
P09556861A1018|176 191|tRNA-synthetase
P02939260A1553|173 184|39K T antigen
P03192537A0370|172 184|human protein
P11160860A0662|181 193|IkappaBalpha
P08148463A0000|182 191|multi-CSF
P07784079A1018|176 184|basic FGF
P08761480A0331|177 185|met26RD1
P10482620A1009|174 181|MMTV LTR
P01536575A1213|174 180|CYPIA1
P10601344A1653|173 178|Cdc42
P11114294A0075|180 184|CFTR
P09736697A1107|176 180|Jak2
P09211981A0526|179 182|p34
P11278594A0618|179 199|human MIC-1 propeptide
P08707846A2308|183 199|a-factor receptor
P07862092A0302|178 191|pol3-11 sdp5-1
P08093642A0600|175 186|D10S94 locus
P07797077A0842|177 187|ISGF3 gamma
P10512699T0000|183 192|selC genes
P10413607A0085|180 188|integrin
P07748952A1329|179 185|RNase E
P11357063A0138|181 187|CGbeta
P07518561A0496|177 183|p56lck
P08760889A0531|173 177|H2A2
P09834070A0793|176 180|CD19
P09259052A0568|177 181|JunD
P08086450A0467|178 181|Sp1
P01191964A0000|177 180|T-4
P03102289A0786|171 173|E2
P07689154A0168|180 218|cyclic AMP (cAMP)-dependent protein kinase
P10848993A0000|179 208|serine/threonine protein kinase
P02685331A0523|178 204|sigma 54-dependent promoters
P11084334A0590|176 194|heat-shock proteins
P09311810A0814|174 189|alpha0 sequences
P09238860A1974|179 193|protein kinase C
P09334330A0252|178 191|mammalian DPC4
P08749393A0783|177 187|SH3 domains
P01653238A1062|181 190|TGF-beta 1
P09368190A1053|178 187|IFN-alpha
P08808120A0774|178 186|ferritin
P07744763A0514|181 188|CYP2C11
P10779313A1842|182 188|beta(2
P09804779A1163|183 189|Stat5a
P11319098A0164|177 181|LacI
P10564495A0444|176 180|CGM1
P11376007A0584|177 181|PP2A
P02123467A0811|178 181|Sp1
P11376687A0344|178 181|p26
P11238586A0000|182 185|MHC
P02139891A0532|175 178|ATF
P09335619A0583|174 195|atp9 mitochondrial gene
P10856298A0798|176 191|wild-type enzyme
P09759865A0673|178 193|NF-kappaB-alpha
P01982997A1104|182 192|Jun-B mRNAs
P07704040A0000|184 194|EC 1.6.99.2
P07592730A0204|178 184|TSG-14
P10209119A0076|182 187|Sic1p
P10735272A0649|181 186|ANOVA
P08652081A1953|182 186|IL-4
